 Date,Time,From,Time,To,Fare,Credit,Balance
 06/Sep/2023,16:46 PM,Adelaide St at City Hall (Stop 20) ,16:57 PM,Light Street - 7 ,$1.78,,$9.75
 07/Sep/2023,7:07:00 AM,James Street - 6 ,7:16:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$7.97
 07/Sep/2023,16:48 PM,Adelaide St at City Hall (Stop 20) ,17:00 PM,Light Street - 7 ,$1.78,,$6.19
 08/Sep/2023,7:13:00 AM,James Street - 6 ,7:23:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.89,,$5.30
 08/Sep/2023,17:18 PM,Adelaide St at City Hall (Stop 20) ,17:27 PM,Light Street - 7 ,$0.89,,$4.41
 11/Sep/2023,7:16:00 AM,Auto top up(James Street - 6 ),,,,$20.00,$24.41
 11/Sep/2023,7:16:00 AM,James Street - 6 ,7:25:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$22.63
 11/Sep/2023,13:24 PM,Adelaide St at City Hall (Stop 20) ,13:34 PM,Light Street - 7 ,$1.42,,$21.21
 11/Sep/2023,16:13 PM,James Street - 6 ,16:23 PM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$19.43
 11/Sep/2023,20:00 PM,Adelaide St at City Hall (Stop 20) ,20:09 PM,Light Street - 7 ,$1.42,,$18.01
 13/Sep/2023,6:49:00 AM,James Street - 6 ,6:58:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$16.23
 13/Sep/2023,14:59 PM,Adelaide St at City Hall (Stop 20) ,15:09 PM,Light Street - 7 ,$1.42,,$14.81
 14/Sep/2023,7:09:00 AM,James Street - 6 ,7:16:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$13.03
 14/Sep/2023,16:51 PM,Adelaide St at City Hall (Stop 20) ,17:01 PM,Light Street - 7 ,$1.78,,$11.25
 15/Sep/2023,7:11:00 AM,James Street - 6 ,7:19:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.89,,$10.36
 15/Sep/2023,16:59 PM,Adelaide St at City Hall (Stop 20) ,17:10 PM,Light Street - 7 ,$0.89,,$9.47
 19/Sep/2023,7:54:00 AM,James Street - 6 ,8:04:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$7.69
 19/Sep/2023,16:09 PM,Adelaide St at City Hall (Stop 20) ,16:19 PM,Light Street - 7 ,$1.78,,$5.91
 20/Sep/2023,7:03:00 AM,James Street - 6 ,7:13:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$4.13
 20/Sep/2023,17:53 PM,Auto top up(Adelaide St at City Hall (Stop 20) ),,,,$20.00,$24.13
 20/Sep/2023,17:53 PM,Adelaide St at City Hall (Stop 20) ,18:06 PM,Light Street - 7 ,$1.78,,$22.35
 21/Sep/2023,7:11:00 AM,James Street - 6 ,7:19:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$20.57
 21/Sep/2023,19:12 PM,Adelaide St at City Hall (Stop 20) ,19:23 PM,Light Street - 7 ,$1.42,,$19.15
 25/Sep/2023,7:11:00 AM,James Street - 6 ,7:20:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$17.37
 25/Sep/2023,13:29 PM,Adelaide St at City Hall (Stop 20) ,13:39 PM,Light Street - 7 ,$1.42,,$15.95
 26/Sep/2023,7:59:00 AM,James Street - 6 ,8:09:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$14.17
 26/Sep/2023,12:31:00 PM,Adelaide St opp City Hall (Stop 43) ,12:44:00 PM,Montague Road - 10 ,$1.42,,$12.75
 26/Sep/2023,13:37 PM,Montague Road - 10 (Touch on Transfer),13:56 PM,Light Street - 7 ,$0.00,,$12.75
 27/Sep/2023,7:07:00 AM,James Street - 6 ,7:16:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$10.97
 27/Sep/2023,16:58 PM,Adelaide St at City Hall (Stop 20) ,17:13 PM,Skyring Tce ,$1.78,,$9.19
 28/Sep/2023,7:13:00 AM,James Street - 6 ,7:21:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$7.41
 28/Sep/2023,16:46 PM,Adelaide St at City Hall (Stop 20) ,16:58 PM,Light Street - 7 ,$1.78,,$5.63
 29/Sep/2023,13:27 PM,James Street - 6 ,13:34 PM,Adelaide St op Anzac Sq (r) (Stop 36) ,$0.71,,$4.92
 29/Sep/2023,15:37 PM,Auto top up(Adelaide St at City Hall (Stop 20) ),,,,$20.00,$24.92
 29/Sep/2023,15:37 PM,Adelaide St at City Hall (Stop 20) ,15:47 PM,Light Street - 7 ,$0.89,,$24.03
 30/Sep/2023,10:34:00 AM,James Street - 6 ,10:42:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.71,,$23.32
 30/Sep/2023,12:23:00 PM,Adelaide St opp City Hall (Stop 43) ,12:31:00 PM,Mollison Street - 5 ,$0.71,,$22.61
 30/Sep/2023,13:24 PM,Mollison Street - 5 (Touch on Transfer),13:48 PM,Skyring Tce ,$0.00,,$22.61
 01/Oct/2023,18:27 PM,James Street - 6 ,18:37 PM,Cultural Centre Platform 3 ,$0.71,,$21.90
 01/Oct/2023,20:41 PM,Cultural Centre station ,20:55 PM,Light Street - 7 ,$0.71,,$21.19
 03/Oct/2023,8:07:00 AM,Teneriffe ferry terminal ,8:10:00 AM,Bulimba ferry terminal ,$1.78,,$19.41
 03/Oct/2023,8:18:00 AM,Bulimba ferry terminal (Touch on Transfer),8:53:00 AM,QUT ferry terminal ,$0.00,,$19.41
 03/Oct/2023,12:11:00 PM,Adelaide St app Hutton L (Stop 28) ,12:18:00 PM,Light Street - 7 ,$1.42,,$17.99
 04/Oct/2023,7:12:00 AM,James Street - 6 ,7:20:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$16.21
 04/Oct/2023,17:02 PM,Adelaide St at City Hall (Stop 20) ,17:12 PM,Light Street - 7 ,$1.78,,$14.43
 04/Oct/2023,17:12 PM,Light Street - 7 (Touch on Transfer),Unknown,Failed to touch Off,$2.50,,$11.93
 05/Oct/2023,7:10:00 AM,Skyring Tce ,7:20:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$10.15
